td_id,spotsID,scenicSpots,time,day,people,cost
6815741,12711,云南,出发时间/2017-03-30,出行天数/15 天,人物/情侣/夫妻,人均费用/11500RMB
14388955,12711,云南,出发时间/2019-06-18,出行天数/11 天,人物/ 和朋友,人均费用/6000RMB
6581852,12711,云南,出发时间/2016-08-04,出行天数/10 天,人物/ 和朋友,null
17321893,12711,云南,出发时间/2019-08-14,出行天数/6 天,人物/家庭出游,人均费用/2300RMB
18596344,12711,云南,出发时间/2020-01-03,出行天数/10 天,人物/带孩子,人均费用/3000RMB
17450092,12711,云南,出发时间/2019-04-04,出行天数/3 天,人物/一个人,人均费用/3000RMB
6531701,12711,云南,出发时间/2016-11-20,出行天数/7 天,人物/ 和朋友,人均费用/3500RMB
15780648,12711,云南,出发时间/2019-06-01,出行天数/9 天,人物/ 和朋友,人均费用/8000RMB
11504358,12711,云南,出发时间/2018-09-08,出行天数/8 天,人物/家庭出游,人均费用/2500RMB
12718894,12711,云南,出发时间/2019-04-08,出行天数/6 天,人物/ 和朋友,人均费用/3500RMB
7357829,12711,云南,出发时间/2017-07-05,出行天数/5 天,人物/家庭出游,人均费用/2500RMB
5533090,12711,云南,出发时间/2016-04-29,出行天数/10 天,人物/ 和朋友,人均费用/15000RMB
11455242,12711,云南,出发时间/2017-05-10,出行天数/14 天,人物/ 和朋友,人均费用/5000RMB
9302761,12711,云南,出发时间/2018-04-30,出行天数/7 天,人物/和同学,人均费用/4000RMB
16789177,12711,云南,出发时间/2019-08-15,出行天数/30 天,人物/一个人,null
10172722,12711,云南,出发时间/2018-07-14,出行天数/15 天,人物/ 和朋友,人均费用/6000RMB
18957766,12711,云南,null,null,null,null
13703965,12711,云南,出发时间/2019-05-30,出行天数/9 天,人物/情侣/夫妻,人均费用/5000RMB
18896230,12711,云南,null,null,null,null
18869734,12711,云南,出发时间/2020-03-16,出行天数/1 天,人物/家庭出游,人均费用/100RMB
10403590,12711,云南,出发时间/2018-04-29,出行天数/8 天,人物/ 和朋友,人均费用/4000RMB
3541283,12711,云南,null,null,null,null
17444710,12711,云南,出发时间/2019-10-03,出行天数/2 天,人物/ 和朋友,null
18608932,12711,云南,出发时间/2019-12-24,出行天数/8 天,人物/ 和朋友,人均费用/3000RMB
16938085,12711,云南,出发时间/2019-08-04,出行天数/10 天,人物/家庭出游,人均费用/2500RMB
6669911,12711,云南,null,null,null,null
12756966,12711,云南,出发时间/2019-05-13,出行天数/11 天,人物/ 和朋友,null
13619683,12711,云南,出发时间/2019-06-09,出行天数/6 天,人物/家庭出游,人均费用/8000RMB
12785382,12711,云南,null,null,null,null
18853606,12711,云南,出发时间/2019-02-21,出行天数/16 天,人物/ 和朋友,null
7214210,12711,云南,出发时间/2017-03-06,出行天数/8 天,人物/一个人,人均费用/3000RMB
18842041,12711,云南,null,null,null,null
13698706,12711,云南,出发时间/2018-12-31,出行天数/10 天,人物/ 和朋友,人均费用/5500RMB
3298817,12711,云南,出发时间/2014-10-12,出行天数/11 天,人物/ 和朋友,人均费用/5000RMB
18622987,12711,云南,出发时间/2017-12-29,出行天数/9 天,人物/家庭出游,null
8915150,12711,云南,出发时间/2018-02-15,出行天数/9 天,人物/家庭出游,人均费用/3000RMB
18643771,12711,云南,出发时间/2018-02-21,出行天数/7 天,人物/家庭出游,人均费用/5000RMB
16843690,12711,云南,出发时间/2018-05-09,出行天数/8 天,人物/家庭出游,人均费用/4000RMB
18659560,12711,云南,出发时间/2019-08-26,出行天数/10 天,人物/家庭出游,null
17055616,12711,云南,出发时间/2019-09-08,出行天数/8 天,人物/ 和朋友,人均费用/5000RMB
16817596,12711,云南,出发时间/2018-10-27,出行天数/8 天,人物/ 和朋友,人均费用/5000RMB
3476938,12711,云南,出发时间/2016-07-15,出行天数/20 天,人物/带孩子,人均费用/8000RMB
18905728,12711,云南,null,null,null,null
6664397,12711,云南,出发时间/2017-01-23,出行天数/7 天,人物/ 和朋友,人均费用/4000RMB
8990181,12711,云南,出发时间/2018-03-17,出行天数/8 天,人物/家庭出游,人均费用/4600RMB
17522746,12711,云南,出发时间/2019-10-07,出行天数/7 天,人物/一个人,人均费用/3000RMB
6884306,12711,云南,出发时间/2017-03-24,出行天数/11 天,人物/ 和朋友,人均费用/5000RMB
3350258,12711,云南,null,null,null,null
